2024-05-19 04:23:50.777 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-05-19 04:23:50.777 [info] Added views:workbench.panel.output in workbench.panel.output
2024-05-19 04:23:50.777 [info] Added views:terminal in terminal
2024-05-19 04:23:50.777 [info] Added views:workbench.scm in workbench.view.scm
2024-05-19 04:23:50.777 [info] Added views:workbench.view.search in workbench.view.search
2024-05-19 04:23:50.777 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2024-05-19 04:23:50.903 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-19 04:23:51.355 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-05-19 04:23:51.540 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-05-19 04:23:51.652 [info] Added views:workbench.view.testing in workbench.view.extension.test
2024-05-19 04:24:51.032 [info] Removed views:workbench.view.testing from workbench.view.extension.test
2024-05-19 04:24:51.089 [info] Removed views:workbench.explorer.emptyView from workbench.view.explorer
2024-05-19 04:24:51.090 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-05-19 04:24:52.555 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2024-05-19 04:24:52.663 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-05-19 04:24:52.901 [info] Added views:workbench.view.testing in workbench.view.extension.test
2024-05-19 04:28:41.553 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular in workbench.view.extensions
2024-05-19 04:28:41.563 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2024-05-19 04:28:49.606 [info] Removed views:workbench.view.testing from workbench.view.extension.test
2024-05-19 04:28:49.916 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2024-05-19 04:28:49.948 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-05-19 04:28:50.206 [info] Added views:workbench.view.testing in workbench.view.extension.test
2024-05-19 04:30:28.207 [info] Showing view workbench.explorer.openEditorsView in the container workbench.view.explorer
2024-05-19 04:30:28.219 [info] Added views:workbench.explorer.openEditorsView in workbench.view.explorer
2024-05-19 04:30:36.072 [info] Removed views:workbench.view.testing from workbench.view.extension.test
2024-05-19 04:30:36.381 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2024-05-19 04:30:36.483 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-05-19 04:30:36.923 [info] Added views:workbench.view.testing in workbench.view.extension.test
2024-05-19 04:30:37.686 [info] Added views:workbench.panel.comments in workbench.panel.comments
2024-05-19 04:30:57.010 [info] Removed views:workbench.view.testing from workbench.view.extension.test
2024-05-19 04:30:57.255 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2024-05-19 04:30:57.370 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-05-19 04:30:57.724 [info] Added views:workbench.view.testing in workbench.view.extension.test
2024-05-19 04:31:11.644 [info] Removed views:workbench.view.testing from workbench.view.extension.test
